method,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auprc_mean,auprc_std,roc_auc_mean,roc_auc_std,dataset
DGCGT,0.7982320457320458,0.1279743219024203,0.8457443482443483,0.14931562146751,0.7785714285714286,0.1672306840711812,0.8811910223366988,0.1053818568509103,0.9917024320457796,0.0105451860881494,Simulated
w/o DCC,0.7848296638002521,0.1307339486057356,0.8520304232804233,0.1514399847107306,0.75,0.1676438550136347,0.8723132901296459,0.1086551420388337,0.990823625587574,0.0107797290533343,Simulated
w/o FF,0.7759526666144313,0.1311430923775441,0.739943574943575,0.1725879223377686,0.8476190476190476,0.1553088367562767,0.8836143804881963,0.1063037867939337,0.9906192519926426,0.0147396885618631,Simulated
w/o SISD,0.7409953472453472,0.1746380212052488,0.8624140211640211,0.1514674229109497,0.6833333333333333,0.2089185255202274,0.8524230961534415,0.11332282739466,0.9894441038217862,0.0121250406314036,Simulated
DGCGT,0.940043956043956,0.0537393873111807,0.8906593406593407,0.0934954328653046,1.0,0.0,0.9878579753579754,0.0120163121570811,0.9999195710455764,7.993093753344258e-05,Mouse_retina
w/o DCC,0.9316239316239316,0.0409900130197668,0.8742857142857143,0.0745051703451731,1.0,0.0,0.9842825692825696,0.0139989412375905,0.9999016979445934,7.993093753347452e-05,Mouse_retina
w/o FF,0.8544630541871922,0.0623622128923889,0.7503016591251885,0.1009855736220456,1.0,0.0,0.9686735024235024,0.0363591140683385,0.9998391420911528,0.0001567084711059,Mouse_retina
w/o SISD,0.9193633952254642,0.0611692022067397,0.8554621848739495,0.1040117542639717,1.0,0.0,0.9686735024235024,0.0363591140683385,0.9998391420911528,0.0001567084711059,Mouse_retina
DGCGT,0.3905749915739804,0.0463675695833507,0.2738132656964542,0.0347069269288749,0.6880000000000001,0.0954986910905065,0.5146866599922453,0.0812529275422768,0.9290401146131806,0.017937563498641,B_lymphoma
w/o DCC,0.3717557018047737,0.0407081991512353,0.2468858557581346,0.0293401278417851,0.76,0.0979795897113271,0.498253052851011,0.0949102027339426,0.9297106017191976,0.0125997444869571,B_lymphoma
w/o FF,0.3640537554158177,0.0527642259148325,0.238546293376012,0.0400432046339936,0.776,0.0829457654133109,0.5014430532782361,0.0790885937235661,0.9276876790830946,0.0122242979813742,B_lymphoma
w/o SISD,0.3738169682967526,0.0463956729409827,0.2513785024092275,0.0346561428105461,0.736,0.0920869154657706,0.5092735061696277,0.0839750948750045,0.929968481375358,0.0155817668773223,B_lymphoma
DGCGT,0.3502276160402342,0.0125962850247827,0.225188655291395,0.008978696930791,0.7904761904761906,0.0542940678618637,0.2266875815419082,0.042989069324745,0.9588586418266012,0.0150664659594404,PBMCs_sampled
w/o DCC,0.3118340044771256,0.0375072839442269,0.1973865364006354,0.0223391887508246,0.7428571428571429,0.1096272803163937,0.2318869204397263,0.0539681941319068,0.9528948847667228,0.0089980260410455,PBMCs_sampled
w/o FF,0.3123350219520432,0.0285407512574962,0.1993277364141878,0.015817907621288,0.7238095238095238,0.1032356351841847,0.2369428353501654,0.0504708642996754,0.950046842795578,0.0086333896604165,PBMCs_sampled
w/o SISD,0.3261302638399009,0.0344196872923276,0.20990299292148,0.0188430244987733,0.7333333333333333,0.1195228609334393,0.2317490187670757,0.0487607829818102,0.9533606359913276,0.0114517273235018,PBMCs_sampled
