dataset,group,method,replicates,source,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auprc_mean,auprc_std,roc_auc_mean,roc_auc_std
Mouse_retina,real,DGCGT,5,five-split benchmark,0.940043956043956,0.0537393873111807,0.890659340659341,0.0934954328653047,1.0,0.0,0.987857975357975,0.0120163121570812,0.999919571045576,7.99309375334519e-05
Mouse_retina,real,MarsGT,5,five-split benchmark,0.869562300263079,0.084259931694556,0.77749226006192,0.138916153373012,1.0,0.0,0.963408350908351,0.0356687398854309,0.999812332439678,0.0001560701447414
Mouse_retina,real,LOF,5,five-split benchmark,0.0127051349920593,0.0,0.0063931806073521,0.0,1.0,0.0,0.0068843097795165,0.0012942954607636,0.386157283288651,0.062447103224696
Mouse_retina,real,IsolationForest,5,five-split benchmark,0.114666666666667,0.160443828869241,0.101709401709402,0.14025950922893,0.133333333333333,0.191847740553689,0.156833443049021,0.0483247270983945,0.973351206434316,0.0093978674461395
Mouse_retina,real,FiRE,1,R baseline,0.0124960288044054,0.0,0.0062872975277067,0.0,1.0,0.0,0.0842362010800568,0.0,0.900004544008725,0.0
Mouse_retina,real,GapClust,1,R baseline,0.0287104622871046,0.0,0.0145643051098494,0.0,1.0,0.0,0.0559493838651708,0.0,0.946961421365929,0.0
Mouse_retina,real,RaceID,1,R baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0062872975277067,0.0,0.298176943699732,0.0
B_lymphoma,real,DGCGT,5,five-split benchmark,0.39057499157398,0.0463675695833508,0.273813265696454,0.034706926928875,0.688,0.0954986910905066,0.514686659992245,0.0812529275422768,0.92904011461318,0.017937563498641
B_lymphoma,real,MarsGT,5,five-split benchmark,0.273387842758674,0.0198600854354483,0.165032167015523,0.0145158398806093,0.808,0.0867179335547153,0.504371458797584,0.0798555758129807,0.924756446991404,0.0109015056571359
B_lymphoma,real,LOF,5,five-split benchmark,0.0175932441942294,0.0,0.0088746893858714,0.0,1.0,0.0,0.0248348348255878,0.0222699285446707,0.623702005730659,0.0371006313091823
B_lymphoma,real,IsolationForest,5,five-split benchmark,0.0148148148148148,0.0331269329999969,0.1,0.223606797749979,0.008,0.0178885438199983,0.0404711759629149,0.0288574922652142,0.751272206303725,0.0244563372849545
B_lymphoma,real,FiRE,1,R baseline,0.0177314945116803,0.0,0.0089450518245066,0.0,1.0,0.0,0.0100891081190489,0.0,0.579907729567472,0.0
B_lymphoma,real,GapClust,1,R baseline,0.0240415854450942,0.0,0.0122719734660033,0.0,0.587301587301587,0.0,0.0163113376576907,0.0,0.619799199526993,0.0
B_lymphoma,real,RaceID,1,R baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0089450518245066,0.0,0.499570200573066,0.0
PBMCs_sampled,real,DGCGT,5,five-split benchmark,0.350227616040234,0.0125962850247827,0.225188655291395,0.008978696930791,0.790476190476191,0.0542940678618637,0.226687581541908,0.042989069324745,0.958858641826601,0.0150664659594405
PBMCs_sampled,real,MarsGT,5,five-split benchmark,0.261670840480167,0.0238296679787573,0.154134341723275,0.0143225993414276,0.866666666666667,0.0782460796435952,0.259330997832373,0.0585356386633718,0.957472095077491,0.012065147166199
PBMCs_sampled,real,LOF,5,five-split benchmark,0.0230642504118616,0.0,0.0116666666666667,0.0,1.0,0.0,0.0163413015746837,0.0034796464691972,0.523528467036056,0.06295851537545
PBMCs_sampled,real,IsolationForest,5,five-split benchmark,0.0231932773109244,0.0317642612569478,0.0296703296703297,0.0406741879633445,0.019047619047619,0.026082026547865,0.0284864843552725,0.0057984627342027,0.705607751813485,0.0298573699002846
PBMCs_sampled,real,FiRE,1,R baseline,0.0160899272647124,0.0,0.0081102099766692,0.0,1.0,0.0,0.0336995121114256,0.0,0.752026869445672,0.0
PBMCs_sampled,real,GapClust,1,R baseline,0.0150531286894923,0.0,0.007608533492466,0.0,0.698630136986301,0.0,0.0250061168078925,0.0,0.601814516129032,0.0
PBMCs_sampled,real,RaceID,1,R baseline,0.0182864883169658,0.0,0.0092576718669638,0.0,0.73972602739726,0.0,0.0089590174023666,0.0,0.546218300436981,0.0
boundary_2026,simulated,DGCGT,5,five-split benchmark,0.640959040959041,0.165330288988381,0.7023809523809523,0.15927485905071015,0.5999999999999999,0.18626292586293283,0.7491907299050156,0.12189261872927967,0.9844267320662171,0.014119094744529994
boundary_2026,simulated,IsolationForest,5,five-split benchmark,0.0,0.0,0.0,0.0,0.0,0.0,0.017639199272356777,0.0007086361626206145,0.07713059472716123,0.047165290239970105
boundary_2026,simulated,LOF,5,five-split benchmark,0.0566801619433198,0.0,0.0291666666666666,0.0,1.0,0.0,0.0172658086849532,0.00044906696727794673,0.05113427345186998,0.04099802574131515
boundary_2026,simulated,MarsGT,5,five-split benchmark,0.6427828054298643,0.1613809484667876,0.5793162393162392,0.16137603193550557,0.7428571428571429,0.18626292586293283,0.7264597531522998,0.1276604287742369,0.9861434702636419,0.011491722067961521
boundary_2027,simulated,DGCGT,5,five-split benchmark,0.746003996003996,0.11156738094862695,0.8095238095238095,0.1749635530559413,0.7142857142857142,0.14285714285714285,0.8624821210535497,0.09656792556233819,0.9932556713672595,0.005166247561726704
boundary_2027,simulated,IsolationForest,5,five-split benchmark,0.0,0.0,0.0,0.0,0.0,0.0,0.01731842989315386,0.0004600835655291892,0.05064377682403428,0.04190266788029844
boundary_2027,simulated,LOF,5,five-split benchmark,0.0566801619433198,0.0,0.0291666666666666,0.0,1.0,0.0,0.01723563536893756,0.00046729014743887245,0.04034334763948492,0.04016151748892218
boundary_2027,simulated,MarsGT,5,five-split benchmark,0.676578947368421,0.12013525387818823,0.5944444444444443,0.15035965114138175,0.8,0.07824607964359512,0.8324117242204799,0.11605714602323325,0.9909258123850397,0.008675171627626741
boundary_2028,simulated,DGCGT,5,five-split benchmark,0.7555128205128205,0.08976602283723939,0.7572222222222222,0.07996912984642927,0.7714285714285715,0.16288220358559113,0.7959700285911466,0.10945979696507387,0.987737584304108,0.008670837292293688
boundary_2028,simulated,IsolationForest,5,five-split benchmark,0.0,0.0,0.0,0.0,0.0,0.0,0.017292307906379402,0.00022516597563611114,0.05211526670754134,0.02420468539932786
boundary_2028,simulated,LOF,5,five-split benchmark,0.0566801619433198,0.0,0.0291666666666666,0.0,1.0,0.0,0.017412871901783842,0.0002187400419369118,0.0583690987124463,0.018461961748975686
boundary_2028,simulated,MarsGT,5,five-split benchmark,0.7017320261437908,0.08901402307973741,0.6006915306915307,0.10602691786901515,0.8571428571428571,0.10101525445522107,0.7838742914127027,0.06328090046966801,0.9870018393623544,0.008466840635661086
boundary_2029,simulated,DGCGT,5,five-split benchmark,0.748131868131868,0.13720029478778445,0.7150432900432901,0.15015507372938167,0.8,0.16288220358559113,0.855226264418811,0.10332123222720227,0.9930104230533414,0.00504848285720145
boundary_2029,simulated,IsolationForest,5,five-split benchmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0173889402795666,0.00031056419684115605,0.057755977927651705,0.0325803177713928
boundary_2029,simulated,LOF,5,five-split benchmark,0.0566801619433198,0.0,0.0291666666666666,0.0,1.0,0.0,0.01723435147960066,0.00021954249560114775,0.04745554874310234,0.025143933131261696
boundary_2029,simulated,MarsGT,5,five-split benchmark,0.6522875816993464,0.05667838794425829,0.5449999999999999,0.07005753243755929,0.8285714285714285,0.11952286093343935,0.7872344322344322,0.15285096467184203,0.9844267320662171,0.013829917527771074
complementary_2026,simulated,DGCGT,5,five-split benchmark,0.9512820512820512,0.07387107841480989,1.0,0.0,0.9142857142857143,0.12777531299998798,1.0,0.0,1.0,0.0
complementary_2026,simulated,IsolationForest,5,five-split benchmark,0.0,0.0,0.0,0.0,0.0,0.0,0.05776922153942633,0.06339133234510348,0.41434702636419374,0.14620353326324192
complementary_2026,simulated,LOF,5,five-split benchmark,0.0566801619433198,0.0,0.0291666666666666,0.0,1.0,0.0,0.029310165435465923,0.009991173189849973,0.3668914776210913,0.06527015607470325
complementary_2026,simulated,MarsGT,5,five-split benchmark,0.9599999999999997,0.03651483716701113,0.925,0.06846531968814576,1.0,0.0,1.0,0.0,1.0,0.0
complementary_2027,simulated,DGCGT,5,five-split benchmark,0.8435497835497834,0.10022818365577393,0.9214285714285715,0.11406228159050938,0.8,0.16288220358559113,0.963219954648526,0.03814258476612492,0.9982832618025752,0.002051894608299377
complementary_2027,simulated,IsolationForest,5,five-split benchmark,0.0,0.0,0.0,0.0,0.0,0.0,0.03461631631874676,0.028168208486463987,0.32066217044757817,0.1362846281670521
complementary_2027,simulated,LOF,5,five-split benchmark,0.0566801619433198,0.0,0.0291666666666666,0.0,1.0,0.0,0.02071019549553008,0.0038939831432761667,0.19301042305334146,0.08566089512359404
complementary_2027,simulated,MarsGT,5,five-split benchmark,0.8274969474969474,0.06837990570080017,0.7903679653679654,0.09850684783547888,0.8857142857142858,0.11952286093343938,0.94930426716141,0.029618767669212228,0.9976701410177805,0.0017557107373729326
complementary_2028,simulated,DGCGT,5,five-split benchmark,0.7671212121212121,0.1079586655247815,0.9055555555555556,0.1296957503325417,0.7142857142857142,0.22587697572631282,0.8422350123670878,0.1385027291358916,0.976578786020846,0.02217175652527905
